
--- Starting new training session ---
Training FNO model with config: configs/training/FNO.yaml
All devices: [CudaDevice(id=0)]
Default backend: gpu
Starting training for FNO

--- Training for family: Prada2013_CC ---
Loading dataset from: data/dataset/FNO/Prada2013_CC_11000.npz

--- Training anode model for Prada2013_CC ---
X_train shape: (9900, 24, 85, 4), Y_train shape: (9900, 24, 85, 1)

Training anode:   0%|          | 0/150 [00:00<?, ?it/s]2026-06-03 23:23:46.297170: W external/xla/xla/service/gpu/autotuning/dot_search_space.cc:200] All configs were filtered out because none of them sufficiently match the hints. Maybe the hints set does not contain a good representative set of valid configs?Working around this by using the full hints set instead.

Epoch 64/150 | Train Loss: 0.0007 | Test Loss: 0.0006:  43%|████▎     | 64/150 [03:58<05:03,  3.53s/it]
Epoch 65/150 | Train Loss: 0.0007 | Test Loss: 0.0006:  43%|████▎     | 64/150 [04:01<05:03,  3.53s/it]
Epoch 65/150 | Train Loss: 0.0007 | Test Loss: 0.0006:  43%|████▎     | 65/150 [04:01<04:59,  3.53s/it]
Epoch 66/150 | Train Loss: 0.0006 | Test Loss: 0.0006:  43%|████▎     | 65/150 [04:05<04:59,  3.53s/it]
Epoch 66/150 | Train Loss: 0.0006 | Test Loss: 0.0006:  44%|████▍     | 66/150 [04:05<04:56,  3.53s/it]
Epoch 67/150 | Train Loss: 0.0007 | Test Loss: 0.0012:  44%|████▍     | 66/150 [04:08<04:56,  3.53s/it]
Epoch 67/150 | Train Loss: 0.0007 | Test Loss: 0.0012:  45%|████▍     | 67/150 [04:08<04:53,  3.53s/it]
Epoch 68/150 | Train Loss: 0.0006 | Test Loss: 0.0007:  45%|████▍     | 67/150 [04:12<04:53,  3.53s/it]
Epoch 68/150 | Train Loss: 0.0006 | Test Loss: 0.0007:  45%|████▌     | 68/150 [04:12<04:49,  3.53s/it]
Epoch 69/150 | Train Loss: 0.0006 | Test Loss: 0.0006:  45%|████▌     | 68/150 [04:15<04:49,  3.53s/it]
Epoch 69/150 | Train Loss: 0.0006 | Test Loss: 0.0006:  46%|████▌     | 69/150 [04:15<04:46,  3.53s/it]
Epoch 70/150 | Train Loss: 0.0006 | Test Loss: 0.0006:  46%|████▌     | 69/150 [04:19<04:46,  3.53s/it]
Epoch 70/150 | Train Loss: 0.0006 | Test Loss: 0.0006:  47%|████▋     | 70/150 [04:19<04:42,  3.53s/it]
Epoch 71/150 | Train Loss: 0.0006 | Test Loss: 0.0006:  47%|████▋     | 70/150 [04:23<04:42,  3.53s/it]
Epoch 71/150 | Train Loss: 0.0006 | Test Loss: 0.0006:  47%|████▋     | 71/150 [04:23<04:39,  3.54s/it]
Epoch 72/150 | Train Loss: 0.0007 | Test Loss: 0.0006:  47%|████▋     | 71/150 [04:26<04:39,  3.54s/it]
Epoch 72/150 | Train Loss: 0.0007 | Test Loss: 0.0006:  48%|████▊     | 72/150 [04:26<04:35,  3.53s/it]
Epoch 73/150 | Train Loss: 0.0007 | Test Loss: 0.0007:  48%|████▊     | 72/150 [04:30<04:35,  3.53s/it]
Epoch 73/150 | Train Loss: 0.0007 | Test Loss: 0.0007:  49%|████▊     | 73/150 [04:30<04:31,  3.53s/it]
Epoch 74/150 | Train Loss: 0.0006 | Test Loss: 0.0006:  49%|████▊     | 73/150 [04:33<04:31,  3.53s/it]
Epoch 74/150 | Train Loss: 0.0006 | Test Loss: 0.0006:  49%|████▉     | 74/150 [04:33<04:28,  3.53s/it]
Epoch 75/150 | Train Loss: 0.0006 | Test Loss: 0.0005:  49%|████▉     | 74/150 [04:37<04:28,  3.53s/it]
Epoch 75/150 | Train Loss: 0.0006 | Test Loss: 0.0005:  50%|█████     | 75/150 [04:37<04:25,  3.54s/it]
Epoch 76/150 | Train Loss: 0.0006 | Test Loss: 0.0005:  50%|█████     | 75/150 [04:40<04:25,  3.54s/it]
Epoch 76/150 | Train Loss: 0.0006 | Test Loss: 0.0005:  51%|█████     | 76/150 [04:40<04:21,  3.54s/it]
Epoch 77/150 | Train Loss: 0.0006 | Test Loss: 0.0005:  51%|█████     | 76/150 [04:44<04:21,  3.54s/it]
